output: Running command: ./powchain optchain --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 --shardId 0 --nodeId 0 --experNumber 35 --experIter 0 --shardNum 4 --shardSize 16 --blockSize 8192 --symbolSize 64 --propSize 16 --avaiSize 16 --eReq 4 --iReq 4 --k 6 --tDiff 000003ffffffffffffffffffffffffffffffffffffffffffffffffffffffffdc --pDiff 0000003c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3a --aDiff 0000001818181818181818181818181818181818181818181818181818181814 --iDiff 00000001da7801da7801da7801da7801da7801da7801da7801da7801da7801da --oDiff 0000001e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1d
err: [2025-12-26T19:22:20Z INFO  powchain::optchain] configuration: Configuration { tx_diff: 0000..ffdc, prop_diff: 0000..3c3a, avai_diff: 0000..1814, in_avai_diff: 0000..01da, order_diff: 0000..1e1d, block_size: 8192, symbol_size: 64, num_symbol_per_block: 128, prop_size: 16, avai_size: 16, ex_req_num: 4, in_req_num: 4, k: 6, shard_id: 0, node_id: 0, shard_num: 4, shard_size: 16, exper_number: 35, exper_iter: 0 }
[2025-12-26T19:22:34Z INFO  powchain::optchain::network::server] Incoming peer from 15.228.186.24:34724
[2025-12-26T19:22:34Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:35Z INFO  powchain::optchain::network::server] Incoming peer from 13.41.72.11:57106
[2025-12-26T19:22:35Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:36Z INFO  powchain::optchain::network::server] Incoming peer from 44.193.214.157:58352
[2025-12-26T19:22:36Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:37Z INFO  powchain::optchain::network::server] Incoming peer from 3.239.180.58:52766
[2025-12-26T19:22:37Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:38Z INFO  powchain::optchain::network::server] Incoming peer from 44.215.71.63:52134
[2025-12-26T19:22:38Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:39Z INFO  powchain::optchain::network::server] Incoming peer from 3.92.42.43:46468
[2025-12-26T19:22:39Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:41Z INFO  powchain::optchain::network::server] Incoming peer from 18.230.71.71:59022
[2025-12-26T19:22:41Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:43Z INFO  powchain::optchain::network::server] Incoming peer from 13.42.105.191:59786
[2025-12-26T19:22:43Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:45Z INFO  powchain::optchain::network::server] Incoming peer from 18.231.226.4:39426
[2025-12-26T19:22:45Z INFO  powchain::optchain::network::server] Coming node's shard id: 0
[2025-12-26T19:22:47Z INFO  powchain::optchain::network::server] Incoming peer from 54.94.88.106:48750
[2025-12-26T19:22:47Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:49Z INFO  powchain::optchain::network::server] Incoming peer from 3.8.56.49:41910
[2025-12-26T19:22:49Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:50Z INFO  powchain::optchain::network::server] Incoming peer from 18.228.188.21:33258
[2025-12-26T19:22:50Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:51Z INFO  powchain::optchain::network::server] Incoming peer from 98.92.38.242:57696
[2025-12-26T19:22:51Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:53Z INFO  powchain::optchain::network::server] Incoming peer from 56.124.102.44:41700
[2025-12-26T19:22:53Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:55Z INFO  powchain::optchain::network::server] Incoming peer from 13.42.18.211:36794
[2025-12-26T19:22:55Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:57Z INFO  powchain::optchain::network::server] Incoming peer from 18.130.248.20:59484
[2025-12-26T19:22:57Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:22:58Z INFO  powchain::optchain::network::server] Incoming peer from 56.125.166.111:33994
[2025-12-26T19:22:58Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:01Z INFO  powchain::optchain::network::server] Incoming peer from 52.195.208.13:34776
[2025-12-26T19:23:01Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:03Z INFO  powchain::optchain::network::server] Incoming peer from 44.212.46.131:54788
[2025-12-26T19:23:03Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:05Z INFO  powchain::optchain::network::server] Incoming peer from 54.233.45.141:40554
[2025-12-26T19:23:05Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:06Z INFO  powchain::optchain::network::server] Incoming peer from 3.239.20.198:38026
[2025-12-26T19:23:06Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:07Z INFO  powchain::optchain::network::server] Incoming peer from 44.222.97.187:47784
[2025-12-26T19:23:07Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:09Z INFO  powchain::optchain::network::server] Incoming peer from 3.112.1.112:49206
[2025-12-26T19:23:09Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:10Z INFO  powchain::optchain::network::server] Incoming peer from 44.203.24.247:46182
[2025-12-26T19:23:10Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:12Z INFO  powchain::optchain::network::server] Incoming peer from 13.42.12.157:58638
[2025-12-26T19:23:12Z INFO  powchain::optchain::network::server] Coming node's shard id: 1
[2025-12-26T19:23:14Z INFO  powchain::optchain::network::server] Incoming peer from 56.124.122.44:50950
[2025-12-26T19:23:14Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:15Z INFO  powchain::optchain::network::server] Incoming peer from 52.195.237.249:59938
[2025-12-26T19:23:15Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:18Z INFO  powchain::optchain::network::server] Incoming peer from 18.130.192.230:58334
[2025-12-26T19:23:18Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:19Z INFO  powchain::optchain::network::server] Incoming peer from 3.231.4.46:50426
[2025-12-26T19:23:19Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:22Z INFO  powchain::optchain::network::server] Incoming peer from 43.207.121.114:39192
[2025-12-26T19:23:22Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:26Z INFO  powchain::optchain::network::server] Incoming peer from 15.228.234.230:44312
[2025-12-26T19:23:26Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:26Z INFO  powchain::optchain::network::server] Incoming peer from 3.112.191.165:59454
[2025-12-26T19:23:26Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:29Z INFO  powchain::optchain::network::server] Incoming peer from 43.207.214.25:45096
[2025-12-26T19:23:29Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:32Z INFO  powchain::optchain::network::server] Incoming peer from 52.195.171.83:57430
[2025-12-26T19:23:32Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:35Z INFO  powchain::optchain::network::server] Incoming peer from 18.228.15.73:36134
[2025-12-26T19:23:35Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:36Z INFO  powchain::optchain::network::server] Incoming peer from 35.176.161.231:51422
[2025-12-26T19:23:36Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:39Z INFO  powchain::optchain::network::server] Incoming peer from 18.176.58.186:43370
[2025-12-26T19:23:39Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:41Z INFO  powchain::optchain::network::server] Incoming peer from 13.40.199.67:46510
[2025-12-26T19:23:41Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:43Z INFO  powchain::optchain::network::server] Incoming peer from 56.124.76.166:39902
[2025-12-26T19:23:43Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:46Z INFO  powchain::optchain::network::server] Incoming peer from 15.228.185.96:44040
[2025-12-26T19:23:46Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:48Z INFO  powchain::optchain::network::server] Incoming peer from 18.168.206.216:46394
[2025-12-26T19:23:48Z INFO  powchain::optchain::network::server] Coming node's shard id: 2
[2025-12-26T19:23:50Z INFO  powchain::optchain::network::server] Incoming peer from 13.41.77.86:53622
[2025-12-26T19:23:50Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:23:52Z INFO  powchain::optchain::network::server] Incoming peer from 18.228.235.187:60430
[2025-12-26T19:23:52Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:23:53Z INFO  powchain::optchain::network::server] Incoming peer from 98.92.150.75:40514
[2025-12-26T19:23:53Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:23:55Z INFO  powchain::optchain::network::server] Incoming peer from 13.42.34.13:39950
[2025-12-26T19:23:55Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:23:58Z INFO  powchain::optchain::network::server] Incoming peer from 18.228.116.48:48970
[2025-12-26T19:23:58Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:23:59Z INFO  powchain::optchain::network::server] Incoming peer from 44.201.47.20:46940
[2025-12-26T19:23:59Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:02Z INFO  powchain::optchain::network::server] Incoming peer from 13.231.57.221:47024
[2025-12-26T19:24:02Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:05Z INFO  powchain::optchain::network::server] Incoming peer from 43.207.87.218:48404
[2025-12-26T19:24:05Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:06Z INFO  powchain::optchain::network::server] Incoming peer from 44.197.208.147:43026
[2025-12-26T19:24:06Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:08Z INFO  powchain::optchain::network::server] Incoming peer from 13.42.62.181:44868
[2025-12-26T19:24:08Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:11Z INFO  powchain::optchain::network::server] Incoming peer from 18.183.107.162:58168
[2025-12-26T19:24:11Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:13Z INFO  powchain::optchain::network::server] Incoming peer from 15.228.231.241:47466
[2025-12-26T19:24:13Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:16Z INFO  powchain::optchain::network::server] Incoming peer from 52.196.85.161:41916
[2025-12-26T19:24:16Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:19Z INFO  powchain::optchain::network::server] Incoming peer from 18.130.219.86:45980
[2025-12-26T19:24:19Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:19Z INFO  powchain::optchain::network::server] Incoming peer from 98.86.147.213:34674
[2025-12-26T19:24:19Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:24:21Z INFO  powchain::optchain::network::server] Incoming peer from 13.40.197.23:52906
[2025-12-26T19:24:21Z INFO  powchain::optchain::network::server] Coming node's shard id: 3
[2025-12-26T19:26:21Z INFO  powchain::optchain::miner] Miner starting in continuous mode with lambda 0
[2025-12-26T19:26:30Z INFO  powchain::optchain::miner] mine a transaction block 0000..c7df in shard 0
[2025-12-26T19:26:39Z INFO  powchain::optchain::network::worker] Incoming exclusive availability block 0000..ac21
[2025-12-26T19:26:39Z INFO  powchain::optchain::network::worker] successfully inserting block: ExHash(0000..ac21)
[2025-12-26T19:26:55Z INFO  powchain::optchain::miner] mine a transaction block 0000..b2c3 in shard 0
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] successfully inserting block: InHash(0000..5faa)
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] successfully inserting block: InHash(0000..5faa)
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] successfully inserting block: InHash(0000..5faa)
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] successfully inserting block: InHash(0000..5faa)
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Reject block 0000..5faa in shard 0: insertion fails: Block already exits
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
[2025-12-26T19:26:58Z INFO  powchain::optchain::network::worker] Incoming inclusive availability block 0000..5faa
